timestamp,vendor_name,item_name,price,quantity,call_sid,raw_text
2025-06-20T16:40:40.874439,Harshit Khemani,Petri Dishes (100mm),2.75,30,DEMO_20250620_164040,$2.75 per unit for 30 Petri Dishes (100mm)
2025-06-20T16:40:41.876040,Harshit Khemani,Micropipette Tips (1000μL),0.45,73,DEMO_20250620_164041,$0.45 per unit for 73 Micropipette Tips (1000μL)
2025-06-20T16:40:42.877685,Harshit Khemani,Laboratory Gloves (Nitrile),12.5,15,DEMO_20250620_164042,$12.50 per unit for 15 Laboratory Gloves (Nitrile)
2025-06-20T16:40:43.878626,Harshit Khemani,pH Buffer Solution (7.0),15.25,22,DEMO_20250620_164043,$15.25 per unit for 22 pH Buffer Solution (7.0)
2025-06-20T16:40:44.881220,Harshit Khemani,Eppendorf Tubes (1.5ml),0.85,37,DEMO_20250620_164044,$0.85 per unit for 37 Eppendorf Tubes (1.5ml)
2025-06-20T16:40:45.882059,Harshit Khemani,Autoclave Tape,8.75,7,DEMO_20250620_164045,$8.75 per unit for 7 Autoclave Tape
2025-06-20T16:40:46.884789,Harshit Khemani,Cell Culture Media,45.0,20,DEMO_20250620_164046,$45.00 per unit for 20 Cell Culture Media
2025-06-20T16:40:47.886754,Harshit Khemani,Microscope Slides,1.25,25,DEMO_20250620_164047,$1.25 per unit for 25 Microscope Slides
2025-06-20T16:40:48.887479,Harshit Khemani,Laboratory Beakers (250ml),18.5,21,DEMO_20250620_164048,$18.50 per unit for 21 Laboratory Beakers (250ml)
2025-06-20T16:40:49.889973,Harshit Khemani,Centrifuge Tubes (50ml),2.3,29,DEMO_20250620_164049,$2.30 per unit for 29 Centrifuge Tubes (50ml)
2025-06-20T16:40:50.892423,Harshit Khemani,Incubator Filters,125.0,11,DEMO_20250620_164050,$125.00 per unit for 11 Incubator Filters
2025-06-20T16:40:51.893197,Harshit Khemani,PCR Reaction Tubes,0.65,48,DEMO_20250620_164051,$0.65 per unit for 48 PCR Reaction Tubes
2025-06-20T16:40:52.895712,Harshit Khemani,Safety Goggles,22.0,17,DEMO_20250620_164052,$22.00 per unit for 17 Safety Goggles
2025-06-20T16:40:53.897524,Harshit Khemani,Bunsen Burner Gas,35.0,9,DEMO_20250620_164053,$35.00 per unit for 9 Bunsen Burner Gas
2025-06-20T16:40:54.899178,Harshit Khemani,Analytical Balance Calibration Weights,450.0,10,DEMO_20250620_164054,$450.00 per unit for 10 Analytical Balance Calibration Weights
